UNIT FILE                                    STATE           PRESET
tuned.service                                enabled         enabled
udisks2.service                              enabled         enabled
upower.service                               enabled         enabled
user-runtime-dir@.service                    static          -
user@.service                                static          -
vgauthd.service                              enabled         disabled
vmtoolsd.service                             enabled         enabled
wpa_supplicant.service                       disabled        disabled
wsdd.service                                 disabled        disabled

294 unit files listed.
